SHORTNAME	NAME
PSB	Persönlichkeitsbildung
QBT	qualifizierte Beratungstätigkeit
RE	RELIGION EVANG
RISL	RELIGION ISLAM.
RK	RELIGION KATH.
RO	RELIGION ORTHODOX
ROBO_1	Robotics
RWDV	
RWWR	Rechnungswesen
S	Sprechstunde
SB	Supplierbereitschaft
SB1	Supplierbereitschaft
SICH	Sicherheitstechniker
SKOC	Studienkoordinator
SKPH	STILKUNDE U. KULTURPHILOSOPHIE
SMAP1	Smart Productin Lab 1
SMAP3	Smart Productin Lab 3
SMEN_1	Smart Mechanical Engineering
SOPK	Sozial- und Personalkompetenz
SOPR	Softwareentwicklung und Projektmanagement
SOS	Wahlpflichtgegenstand Softwaresecurity
SPL_1	Smart Production Lab 1
SPL_3	Smart Production Lab 3
SQPM	SchulqualitätsprozessmanagerIn
STK	STILKUNDE
SWP1	Softwareentwicklung und Projektmanagement
SWP1x	Sofwareentwicklung und Projektmanagement X-Gruppe
SWP1y	Sofwareentwicklung und Projektmanagement Y-Gruppe
SYT	Systemtechnik
SYTCP_4A	Systemtechnik - Computerpraktikum
SYTx	Systemtechnik x-Gruppe
SYTy	Systemtechnik y-Gruppe
TE1	Technologie
TEIN	Technologie und Angewandte Informatik
TEINx	Technologie und Angewandte Informatik
TEINy	Technologie und Angewandte Informatik
TEKO	TELEKOMMUNIKATION
TEPH	Technologie und Phänomenologie
TICP4A	Techn. Informatik und Computerpraktikum
TINF_1	Techn. Informatik und Computerpraktikum
TINFx	Technische Informatik und Computerpraktikum
TINFy	Technische Informatik und Computerpraktikum
TMEN	TECHNOLOGIE DER MEDIEN / KD-Kolleg Abend
TYPE	TYPOGRAF.ENTWURF
UFW1	Unternehmensführung und Wirtschaftsrecht
UFW2	Unternehmensführung und Wirtschaftsrecht
UFW_2	Unternehmensführung und Wirtschaftsrecht
UNF	Unternehmensführung
UTE	Umwelttechnologie
VAJF	Joure Fixe VA
WEPT	Werkstätte und Produktionstechnik
WIR3	WIRTSCHAFT U.RECHT
WIRE	Wirtschaft und Recht - 2
WMC_1	Webprogrammierung und Mobile Computing
WMC_1x	Webprogrammierung und Mobile Computing
WMC_1y	Webprogrammierung und Mobile Computing
WPT_3	Werkstätte und Produktionstechnik
WPT_4	Werkstätte und Produktionstechnik
WRKL	WERKSTÄTTENLEITG.
